Cloudiness,Country,Humidity,Latitude,Longitude,Max_Temp,Temperature (F),Wind Speed
0,CL,88,-47.25,-72.57,35.76,35.76,2.93
32,CL,96,-42.48,-73.76,53.04,53.04,4.05
1,US,81,34.64,-120.46,46.4,44.35,4.61
75,AF,62,34.53,69.18,51.8,51.8,4.7
92,RU,88,69.38,178.42,15.11,15.11,30.89
24,PH,100,4.8,119.85,84.9,84.9,3.04
90,FR,85,49.12,-1.09,26.6,25.74,11.41
20,IS,86,63.84,-22.43,37.4,35.94,19.46
24,BR,92,-6.44,-36.64,71.36,71.36,5.95
20,JP,58,33.93,134.5,55.4,55.4,38.03
0,MX,88,20.87,-90.4,80.58,80.58,18.7
76,RU,81,66.83,70.83,9.93,9.93,26.42
75,JP,58,35.01,132.22,55.4,55.4,31.09
1,US,79,43.97,-111.68,19.4,15.73,3.36
44,RU,77,56.57,36.46,-0.2,-0.2,11.99
0,IR,92,33.99,50.69,41.16,41.16,3.15
92,NA,100,-22.12,14.28,61.68,61.68,7.29
24,NC,58,-21.69,165.68,87.8,87.8,6.93
75,ES,100,43.27,-7.54,46.4,46.4,1.12
90,BN,79,5.28,115.24,86.0,86.0,5.82
75,NO,55,70.03,20.97,39.2,39.2,31.09
0,ML,48,16.28,-0.04,67.76,67.76,3.04
56,SL,98,7.99,-10.85,70.46,70.46,2.93
0,GL,45,60.91,-46.05,32.0,32.0,4.7
20,GL,96,60.14,-45.24,33.33,33.33,28.54
75,TH,70,16.57,104.76,84.2,84.2,2.24
92,PE,99,-13.74,-72.9,45.62,45.62,0.58
0,SY,80,35.3,37.18,48.81,48.81,10.42
1,US,85,46.88,-96.9,15.8,12.88,8.05
0,MX,91,27.97,-114.04,49.04,49.04,7.74
0,AO,84,-14.92,13.49,54.75,54.75,2.15
90,CA,100,47.66,-52.73,30.2,30.2,12.75
76,NO,100,67.67,12.69,35.4,35.4,17.69
100,ES,99,38.26,-5.68,51.33,51.33,24.85
0,AU,26,-34.6,138.75,84.2,84.2,10.29
90,CA,58,49.79,-92.84,28.4,28.4,5.82
20,JP,48,35.73,140.83,66.2,65.43,16.11
56,GB,79,60.4,-1.35,26.6,25.83,9.17
75,CA,79,55.74,-97.86,21.2,21.2,2.82
75,NO,86,71.03,27.85,28.4,28.4,11.41
80,RU,100,61.92,159.24,18.62,18.62,13.56
44,AU,61,-20.74,116.85,90.89,90.89,7.74
0,NE,32,14.97,8.88,57.86,57.86,4.27
0,NA,63,-18.06,13.84,53.13,53.13,2.59
36,RU,28,71.97,114.09,-19.91,-19.91,14.45
20,BR,94,-23.68,-45.44,69.8,69.8,2.37
92,MG,100,-23.35,47.6,76.26,76.26,2.93
76,ZA,100,-34.0,24.73,68.84,68.84,6.62
92,EC,93,-3.63,-79.92,65.78,65.78,0.92
44,AO,100,-15.19,12.15,72.84,72.84,5.95
90,CA,99,45.36,-73.48,33.8,33.37,9.17
75,JP,79,43.93,141.67,23.0,23.0,9.17
0,BD,65,24.08,89.61,82.79,82.79,3.71
20,BR,88,-3.73,-38.66,78.8,78.8,4.7
24,AU,54,-28.95,153.24,88.19,88.19,4.16
20,LK,88,6.12,81.12,85.04,85.04,14.0
90,US,100,33.19,-82.53,68.0,61.54,7.74
80,RU,69,69.49,88.39,-10.32,-10.32,26.75
